书名                         作者          出版日期             出版社              原价         现价                    说明                                                                                                                             商品详情                                                                                                                                                图片名称
我与世界只差一个你         张皓宸          2016年12月          天津人民出版社        49.0       38.7       12个温馨治愈的情感故事，给年轻人爱的正能量和信心，让你在面对爱时无惧，怀疑爱时坚定。                                                          是否套装:否;产品名:我与世界只差一个你;定价:38.7;出版时间:2016年12月;作者:张皓宸;作者地区:中国;国际标准书号ISBN：9787201111735                           woyushijiezhichayigeni.jpg

卖产品就是卖自己           梁汉桥          2016年11月          中华工商联合出版社    35         17.5       销售就是要玩转情商，销售就是要有效化解客户问题，销售就是要搞定人                                                                              是否套装:否;产品名:卖产品就是卖自己;定价:17.5;出版时间:2016年11月;作者:梁汉桥;作者地区:中国;国际标准书号ISBN：9787515818122                             maichanpinjiushimaiziji.jpg

男孩的冒险书            康恩·伊古尔登      2016年11月          广西科学技术出版社    198        99         有史以来给男孩的完美手册升级！英国作者献给小男子汉的重磅手绘大作！原版连续12周《纽约时报》排行榜冠军，《时代周刊》鼎力推荐！                  是否套装:否;产品名:男孩的冒险书;定价:99;出版时间:2016年11月;作者:康恩·伊古尔登;作者地区:英国;国际标准书号ISBN：9787555106920                            nanhaidemaoxianshu.jpg

美联储主席                斯凯恩           2017年03月          华文出版社            58         29         美联储主席又称“影子总统”，他们的权力美国第二，但全球NO.1。美元加不加息，他们说了算！他们讲话时，全球都得竖起耳朵听！                          是否套装:否;产品名:美联储主席;定价:29.00;出版时间:2017年03月;作者:斯凯恩; 作者地区:美国;国际标准书号ISBN：9787507544824                                 meilianchuzhuxi.jpg   

我只想一个人住在你心里     孟瑞            2017年01月          北京联合出版公司      45         32         孟瑞首部青春成长暖伤图文故事集，记录那些走过的青春，爱的人，追的梦，未走完的路和苍茫人世寻觅心安抚慰的你我！                                  是否套装:否;产品名:我只想一个人住在你心里;定价:32.4;出版时间:2017年01月;作者:孟瑞;作者地区:中国;国际标准书号ISBN：9787550295179                         wozhixiangyigerenzainixinli.jpg

























